Year,EEZ,Catch,Effort,CPUE
1952,Saba and Sint Eustaius (Netherlands),813.390383,521789.7825,0.001558847
1952,Saint Kitts & Nevis,957.1450719,28363.36315,0.033745824
1952,Saint Lucia,363.6686847,18674.47528,0.019474105
1952,Saint Vincent and the Grenadines,634.7606215,9987.394033,0.063556181
1952,Samoa,4255.129203,36239.38887,0.117417245
1952,Seychelles,860.0060516,2099.464512,0.409631145
1952,Solomon Isl.,4105.033509,443602.7783,0.00925385
1952,Somalia,1359.581467,13432.36858,0.101216808
1952,South Africa (Indian Ocean),33.06977226,30076.88012,0.001099508
1952,Sri Lanka,14275.0938,130132.0078,0.109697023
1952,St Martin (France),179.3993817,83446.43575,0.002149875
1952,Taiwan,5052.471913,1237989.512,0.004081191
1952,Timor Leste,531.4301816,5612.036197,0.094694717
1952,Tokelau (New Zealand),29.615808,1109105.139,2.67E-05
1952,Tonga,1622.034652,10615.16131,0.15280358
1952,Turks & Caicos Isl. (UK),290.6368564,181.7764623,1.598869583
1952,Tuvalu,147.8297193,3168.040293,0.046662828
1952,US Virgin Isl.,1275.536079,98977.34917,0.012887151
1952,USA,3818.941131,281185.6983,0.013581562
1952,Vanuatu,492.4098788,25772.53564,0.019105993
1952,Venezuela,8969.870519,6973745.393,0.001286234
1952,Vietnam,1161.21784,167784.455,0.00692089
1952,Wallis & Futuna Isl. (France),309.0297843,85067.61477,0.003632755
1952,Yemen (Arabian Sea),12.80203767,349.8191299,0.036596162
1953,American Samoa,843.2101753,805169.8237,0.001047245
1953,Andaman & Nicobar Isl. (India),578.405741,4452.121276,0.129916888
1953,Anguilla (UK),177.7344662,3250.713028,0.054675533
1953,Antigua and Barbuda,980.4754688,148715.446,0.006592963
1953,Australia,4525.264883,14800662.89,0.000305747
1953,Bahamas,1939.687038,4955999.761,0.000391382
1953,Barbados,47.99820328,1241.738306,0.038654041
1953,Belize,2161.950669,25365.49301,0.085231959
1953,Bermuda (UK),325.2462248,291417.092,0.001116085
1953,Bonaire (Netherlands),29.24013572,8477.114701,0.003449303
1953,Brazil (mainland),1362.368174,17281.83684,0.078832371
1953,British Virgin Isl. (UK),558.4076425,82434.70355,0.006773939
1953,Brunei Darussalam,141.2648008,45722.14237,0.003089637
1953,Cayman Isl. (UK),28.97116258,38789.9427,0.000746873
1953,Chagos Archipelago (UK),30.968,49.82120258,0.621582748
1953,China,3362.717644,38843.87372,0.08657009
1953,Christmas Island,15.9870893,493.0861636,0.032422506
1953,Cocos (Keeling) Islands,50.13116692,7573780.197,6.62E-06
1953,Colombia,1761.347344,106756.6023,0.016498721
1953,Comoros Isl.,4.694940407,140.2513449,0.03347519
1953,Cook Islands,698.6013986,2500.125561,0.279426525
1953,Costa Rica (Pacific),237.4182847,802733.6897,0.000295762
1953,Cuba,5839.867571,2467135.371,0.002367064
1953,Curacao (Netherlands),297.8409502,608059.4257,0.000489822
1953,Daito Islands,157.9385693,5073317.268,3.11E-05
1953,Dominica,756.3469615,30048.51729,0.025170858
1953,Dominican Republic,9240.362878,1598482.141,0.005780711
1953,Fernando de Noronha (Brazil),23.35298576,775.7453617,0.030103932
1953,Fiji,24433.43671,745602.3815,0.032770063
1953,French Polynesia,1703.243168,122882.5779,0.013860738
1953,Grenada,506.6672178,432099.2986,0.001172571
1953,Guadeloupe (France),648.7433866,185803.8502,0.00349155
1953,Guam (USA),485.6943584,271448.3553,0.00178927
1953,Hawaii Main Islands (USA),2505.229479,608965.2016,0.004113912
1953,Honduras (Caribbean),613.7586508,45401.35673,0.013518509
1953,Hong Kong,31.94129799,64838.66197,0.000492627
1953,India (mainland),46219.26771,581183.3,0.079526146
1953,Indonesia,20139.46733,1218712.42,0.016525201
1953,Jamaica,24048.93656,2312783.819,0.010398264
1953,Japan Main Islands,12986.83921,3465599.792,0.003747357
1953,Kiribati,5649.603105,354902.2352,0.015918759
1953,Lord Howe Island,1.541657143,1637.630299,0.000941395
1953,Madagascar,7329.65378,75784.05607,0.096717623
1953,Maldives,1907.815006,123607.212,0.015434496
1953,Marshall Isl.,582.3909768,585.629617,0.994469815
1953,Martinique (France),883.0187603,290098.9562,0.003043854
1953,Mauritius,2051.144139,56520.27202,0.036290415
1953,Mayotte (France),103.760844,4672.019481,0.022208992
1953,Mexico,2834.159593,580219.6981,0.004884632
1953,Micronesia (Federated States of),5483.472129,56988.96764,0.096219889
1953,Mozambique,17004.06964,87355.76678,0.194653087
1953,Myanmar,4812.802731,77225.41072,0.062321491
1953,Nauru,18.24836271,595.2431342,0.03065699
1953,New Caledonia (France),1330.860042,379021.7804,0.003511302
1953,Nicaragua,4145.905306,25266.44347,0.164087411
1953,Niue (New Zealand),67.14603994,272.1681018,0.24670797
1953,Northern Marianas (USA),134.9935874,30913.16137,0.004366865
1953,Oman,2561.919605,143884.4214,0.017805399
1953,Palau,742.5984627,610.0546033,1.217265567
1953,Panama (Pacific),434.6102958,345994.179,0.00125612
1953,Papua New Guinea,10062.06559,519621.4022,0.019364225
1953,Philippines,18275.81673,6367015.582,0.00287039
1953,Puerto Rico (USA),3192.037204,842856.5346,0.003787166
1953,Reunion (France),231.3358398,6493.731617,0.035624484
1953,Saba and Sint Eustaius (Netherlands),834.9234596,584148.7436,0.001429299
1953,Saint Kitts & Nevis,979.7348072,30743.37087,0.031868165
1953,Saint Lucia,237.328389,12159.80538,0.01951745
1953,Saint Vincent and the Grenadines,547.5029863,10809.48381,0.050650243
1953,Samoa,4364.652217,36712.943,0.118885926
1953,Seychelles,877.5303054,1490.409674,0.588784628
1953,Solomon Isl.,4198.935536,438952.7695,0.009565803
1953,Somalia,1378.669232,13367.25776,0.103137776
